,Total Amount Funded,Monthly PAYMENT,Home Ownership,Monthly Income,Approx. Fico Score,Total CREDIT Lines,Revolving CREDIT Balance,Revolving Line Utilization,Inquiries in the Last 6 Months,Last Delinquency,Last Record,EmployedCat,Status
0,500,15.67,RENT,275.0,732.0,3.0,0.0,0.0,0.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
1,500,15.69,RENT,1500.0,732.0,4.0,0.0,0.0,0.0,JUST NOW,JUST NOW,0_TO_4_YRS,Not Delinquent
2,500,15.75,ANY,8333.33,732.0,6.0,56.0,5.6,1.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
6,500,16.25,MORTGAGE,2166.67,695.0,28.0,5643.0,60.7,0.0,LAST FIVE,JUST NOW,0_TO_4_YRS,Not Delinquent
7,500,16.31,MORTGAGE,658.67,695.0,6.0,44.0,3.7,2.0,LAST YEAR,JUST NOW,0_TO_4_YRS,Not Delinquent
8,500,16.47,RENT,1625.0,669.0,15.0,12229.0,90.6,0.0,JUST NOW,LAST FIVE,0_TO_4_YRS,Not Delinquent
9,500,16.73,RENT,1500.0,650.0,36.0,9231.0,44.0,1.0,LAST FIVE,JUST NOW,0_TO_4_YRS,Not Delinquent
11,550,18.28,RENT,1560.0,669.0,1.0,182.0,18.2,2.0,JUST NOW,LAST FIVE,0_TO_4_YRS,Not Delinquent
12,600,19.62,RENT,1250.0,695.0,1.0,441.0,73.5,0.0,JUST NOW,JUST NOW,0_TO_4_YRS,Not Delinquent
13,600,19.8,RENT,416.67,669.0,4.0,228.0,19.0,3.0,JUST NOW,JUST NOW,0_TO_4_YRS,Not Delinquent
14,1000,19.87,RENT,3714.0,770.0,23.0,464.0,4.4,0.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
15,1000,20.22,MORTGAGE,4500.0,770.0,18.0,9719.0,32.1,0.0,NEVER,NEVER,5_TO_9_YRS,Not Delinquent
16,600,20.29,RENT,1166.67,669.0,3.0,195.0,65.0,0.0,JUST NOW,JUST NOW,0_TO_4_YRS,Not Delinquent
18,600,20.53,RENT,2600.0,650.0,15.0,14670.0,79.3,3.0,LAST FIVE,JUST NOW,0_TO_4_YRS,Not Delinquent
20,600,21.59,ANY,1985.5,650.0,5.0,495.0,99.0,2.0,NEVER,NEVER,0_TO_4_YRS,Delinquent
21,1000,21.74,MORTGAGE,5000.0,695.0,31.0,1427.0,6.3,0.0,LAST FIVE,NEVER,10_YRS_PLUS,Not Delinquent
22,1000,21.81,MORTGAGE,800.0,732.0,11.0,5308.0,22.1,1.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
23,1000,21.99,MORTGAGE,7000.0,695.0,26.0,22839.0,32.6,0.0,LAST FIVE,NEVER,10_YRS_PLUS,Not Delinquent
24,1000,22.24,MORTGAGE,4683.0,732.0,21.0,15399.0,70.0,4.0,NEVER,NEVER,5_TO_9_YRS,Not Delinquent
25,725,22.51,RENT,1000.0,790.0,10.0,1814.0,7.0,0.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
26,1000,22.59,MORTGAGE,2000.0,695.0,30.0,5204.0,31.5,2.0,NEVER,NEVER,5_TO_9_YRS,Not Delinquent
27,1000,22.79,RENT,800.0,695.0,4.0,1327.0,53.1,0.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
28,1000,22.94,MORTGAGE,3000.0,695.0,13.0,7496.0,85.2,0.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
29,1000,23.01,RENT,2500.0,695.0,10.0,5947.0,58.9,1.0,NEVER,NEVER,PRES_NOT_EMPLOYED,Delinquent
30,1000,23.17,RENT,1200.0,732.0,8.0,4276.0,64.1,1.0,NEVER,NEVER,0_TO_4_YRS,Not Delinquent
31,700,23.21,OWN,1950.0,650.0,2.0,4479.0,101.8,1.0,JUST NOW,JUST NOW,5_TO_9_YRS,Delinquent
32,1000,23.26,RENT,3250.0,695.0,17.0,5490.0,96.3,0.0,NEVER,NEVER,5_TO_9_YRS,Not Delinquent
34,1000,23.51,MORTGAGE,2773.0,669.0,27.0,5484.0,51.3,3.0,LAST TEN,NEVER,5_TO_9_YRS,Not Delinquent
35,1000,23.91,RENT,1000.0,669.0,15.0,5397.0,81.0,0.0,LAST FIVE,NEVER,PRES_NOT_EMPLOYED,Not Delinquent
